"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
Afghanistan,176229,7643,158429,10157,4361.0,189.0,904261,22376.0,40411760,Asia,251.0
Albania,272663,3485,268359,819,94923.0,1213.0,1760359,612837.0,2872476,Europe,285.0
Algeria,265432,6864,178050,80518,5874.0,152.0,230861,5109.0,45191206,Africa,1782.0
Andorra,38794,152,37925,717,500736.0,1962.0,249838,3224798.0,77474,Europe,9255.0
Angola,98927,1900,96857,170,2860.0,55.0,1463343,42299.0,34595276,Africa,5.0
Anguilla,2574,9,2552,13,169009.0,591.0,51382,3373736.0,15230,North America,854.0
Antigua and Barbuda,7466,135,7317,14,75185.0,1359.0,18901,190339.0,99302,North America,141.0
Argentina,8971432,127187,8776700,67545,195465.0,2771.0,34789684,757978.0,45897988,South America,1472.0
Armenia,422004,8572,408396,5036,141964.0,2884.0,2935042,987358.0,2972622,Asia,1694.0
Aruba,33796,212,33522,62,314282.0,1971.0,177885,1654221.0,107534,North America,577.0
Australia,3596466,5586,3323249,267631,138321.0,215.0,64617596,2485216.0,26000797,Australia/Oceania,10293.0
Austria,3153927,15207,2754357,384363,346836.0,1672.0,166378307,18296566.0,9093417,Europe,42268.0
Azerbaijan,790767,9611,779417,1739,76819.0,934.0,6632882,644350.0,10293917,Asia,169.0
Bahamas,33194,771,32108,315,83067.0,1929.0,223636,559641.0,399606,North America,788.0
Bahrain,537395,1463,522241,13691,298291.0,812.0,9503419,5275041.0,1801582,Asia,7599.0
Bangladesh,1949486,29111,1860886,59489,11641.0,174.0,13637737,81435.0,167467432,Asia,355.0
Barbados,57023,325,55548,1150,198016.0,1129.0,597763,2075775.0,287971,North America,3993.0
Belarus,941168,6661,928536,5971,99657.0,705.0,12636546,1338042.0,9444059,Europe,632.0
Belgium,3640052,30408,3355815,253829,311781.0,2605.0,32112055,2750489.0,11675036,Europe,21741.0
Belize,57034,652,55851,531,139160.0,1591.0,510065,1244531.0,409845,North America,1296.0
Benin,26575,163,25506,906,2099.0,13.0,604310,47732.0,12660368,Africa,72.0
Bermuda,11850,124,11502,224,191475.0,2004.0,815667,13179728.0,61888,North America,3619.0
Bhutan,17620,7,13527,4086,22418.0,9.0,2040668,2596293.0,785993,Asia,5199.0
Bolivia,897385,21473,807166,68746,75142.0,1798.0,2682016,224576.0,11942576,South America,5756.0
Bosnia and Herzegovina,373292,15622,192218,165452,114991.0,4812.0,1725264,531462.0,3246261,Europe,50967.0
Botswana,263950,2619,259434,1897,108533.0,1077.0,2026898,833436.0,2431979,Africa,780.0
Brazil,29368776,655139,27742324,971313,136524.0,3045.0,63776166,296471.0,215117939,South America,4515.0
British Virgin Islands,6104,62,,,199660.0,2028.0,101161,3308943.0,30572,North America,425.0
Brunei ,112093,166,78341,33586,252137.0,373.0,717784,1614551.0,444572,Asia,75547.0
Bulgaria,1112699,36098,877757,198844,162204.0,5262.0,9367761,1365589.0,6859870,Europe,28987.0
Burkina Faso,20751,375,20309,67,949.0,17.0,248995,11384.0,21872838,Africa,3.0
Burundi,38248,38,773,37437,3062.0,3.0,345742,27682.0,12489747,Africa,2997.0
CAR,14320,113,6859,7348,2880.0,23.0,81294,16351.0,4971895,Africa,1478.0
Cabo Verde,55906,401,55446,59,98737.0,708.0,400982,708185.0,566211,Africa,104.0
Cambodia,134068,3047,128968,2053,7835.0,178.0,2895579,169227.0,17110662,Asia,120.0
Cameroon,119322,1926,117263,133,4313.0,70.0,1751774,63324.0,27663775,Africa,5.0
Canada,3360655,36884,3210838,112933,87740.0,963.0,58655426,1531375.0,38302468,North America,2948.0
Caribbean Netherlands,7614,31,7547,36,285854.0,1164.0,30126,1131026.0,26636,North America,1352.0
Cayman Islands,19433,17,8553,10863,289919.0,254.0,222773,3323532.0,67029,North America,162064.0
